ID;NOMBRE;Activado;Productos;Recencia;Frecuencia;PrecioProm;Monto;MERCADO;REGION;PAIS;TIPOCOMPRA;LIMITECREDITO;DIASLIMITECR;EDAD;GRUPOCLIENTE;TIPONEGOCIO
2220030;HIERROS Y BRONCES, S.A. DE C.V.;Activo;3;0;4;36;108;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;8;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2220035;PROPART INC;Activo;3;0;4;23;69;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;6;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2220036;SPECIALLITY PUMPS DE MEXICO, S.A DE C.V;Activo;3;0;4;24;72;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;0;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2220039;AMETRADE INC.;Activo;5;0.228;4;35;175;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;9;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2220041;SHIN NIPPON MACHINERY CO.LTD;Activo;3;0.093;4;35;105;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;2;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2220044;JOHN CRANE COLOMBIA, S.A.;Activo;3;0.116;4;35;105;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;8;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2220048;VALVEXPORT,INC.;Activo;3;0;4;35;105;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;7;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2220049;CLARK RELIANCE;Activo;3;0;3;34;102;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;7;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2220059;NETZSCH;Activo;3;0;3;34;102;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;3;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2220064;SHANDONG SHUANGLUN CO. LTD;Activo;5;0.627;3;36;180;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;3;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2220065;HPB ENGENHARIA E EQUIPAMENTOS;Activo;5;0;3;36;180;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;3;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2220067;GOVERNOR CONTROL SYSTEMS;Activo;4;0.19;5;36;144;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;3;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2220070;THERMAL COOLING TOWER S.A DE C.V;Activo;4;0.093;5;36;144;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;3;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2220074;MCI INGENIERIA Y APLICACIONES S.A. DE C.V.;Activo;4;0.68;5;34;136;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;2;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2220077;BOSCH ENGENHARIA LTDA;Activo;4;0.317;5;34;136;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;30;1;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2220088;SEIGUA;Activo;3;0.599;5;33;99;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;30;0;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2266012;EWART AGRI SERVICES LTD.;Activo;5;0;3;32;160;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;0;OTROS;CLIENTES EXTERIOR
